Date,WT,DO,pH,EC,ORP
2021-11-24,20.7,7.1,8.6,112.4,114.5
2021-11-25,20.55,7.28,8.72,111.38,122.32
2021-11-26,20.69,7.19,8.66,111.1,124.22
2021-11-27,20.64,7.19,8.75,112.34,132.51
2021-12-01,20.4,7.37,8.78,109.6,133.58
2021-12-02,19.97,6.45,9.56,105.52,131.63
2021-12-03,20.07,7.05,9.15,105.43,131.4
2021-12-04,19.52,6.74,9.42,101.76,131.72
2021-12-08,19.4,6.31,9.6,101.7,130.9
2021-12-09,19.45,6.88,9.89,98.02,158.0
2021-12-10,19.49,7.08,9.88,87.06,190.93
2021-12-11,19.83,7.58,9.89,86.43,165.47
2021-12-16,20,8.99,10,81.81,227.9
2021-12-17,19.36,9.08,9.93,101.35,249.96
2021-12-18,19.48,9.52,9.87,87.5,244.64
2021-12-19,19.65,9.31,9.91,90.03,251.16
2021-12-23,19.2,9.91,9.87,104.2,253.9
2021-12-24,18.96,10.1,9.88,94.07,219.97
2021-12-25,18.38,10.12,9.91,102.21,202.04
2021-12-26,19.18,10.12,9.91,100.99,179.22
2021-12-30,18.3,10.16,9.92,93.07,174.4
2021-12-31,18.28,10.29,9.88,99.98,178.42
2022-01-01,18.2,10.47,9.88,93.15,193.66
2022-01-02,18.24,10.25,9.9,103.34,182.4
2022-01-06,18.2,10.83,9.88,105.09,210.6
2022-01-07,18.02,10.68,9.83,102.28,279.63
2022-01-08,18.11,10.77,9.86,104.37,265.45
2022-01-09,17.97,10.4,9.67,104.99,266.99
2022-01-13,17.4,10.12,9.66,101.5,305.7
2022-01-14,17.75,10.16,9.86,102.36,297.46
2022-01-15,17.65,10.26,9.88,103.01,221.12
2022-01-16,17.77,10.27,9.78,102.89,247.95
2022-01-20,18.2,11.82,9.93,103.66,214.6
2022-01-21,19.03,11.55,9.88,104.14,248.84
2022-01-22,18.41,11.71,9.93,103.78,244.71
2022-01-23,19.04,11.42,9.78,104.18,238.66
2022-01-27,19.6,10.04,9.66,104.36,252.5
2022-01-28,18.82,9.96,9.58,104.61,278.71
2022-01-29,18.84,9.99,9.5,104.77,257.12
2022-01-30,18.34,10.03,9.53,104.72,284.29
2022-02-03,17.6,9.96,9.48,104.8,466.6
2022-02-04,17.62,9.9,9.46,108.18,426.09
2022-02-05,18.58,9.62,9.19,107.96,409.85
2022-02-06,18.67,9.59,8.75,107.23,375.41
2022-02-10,18.7,9.55,8.39,108.62,369.8
2022-02-11,18.64,9.34,9.44,108.81,326.24
2022-02-12,18.59,9.38,9.32,108.88,307.15
2022-02-13,18.68,9.5,9.26,108.66,299.25
2022-02-18,18.5,9.14,9.44,108.98,263.3
2022-02-19,18.01,9.16,9.0,108.43,266.26
2022-02-20,17.8,9.79,8.69,108.0,328.02
2022-02-21,18.08,9.67,8.94,108.04,287.36
2022-02-25,17.1,9.86,8.57,105,336.2
2022-02-26,19.12,11.9,9.86,106.62,318.07
2022-02-27,17.72,10.82,9.69,107.07,296.37
2022-02-28,17.76,11.58,9.66,109.97,302.91
2022-03-05,19.8,12.04,9.95,111.99,163.9
2022-03-06,20.09,10.38,9.86,113.13,199.2
2022-03-07,20.18,11.14,9.85,116.95,218.04
2022-03-08,20.1,10.49,9.86,115.74,183.41
2022-03-12,20.3,9.58,9.84,118.19,231.8
2022-03-13,20.76,9.36,9.84,123.44,221.06
2022-03-14,21.4,8.75,9.8,119.89,213.42
2022-03-15,21.52,8.61,9.8,123.76,222.47
2022-03-19,21.9,7.02,9.61,125.91,210.5
2022-03-20,22.02,5.62,9.46,127.96,303.34
2022-03-21,21.93,6.77,8.81,135.42,461.16
2022-03-22,22.09,6.97,9.16,128.16,236.05
2022-03-26,22.2,5.31,7.47,135.97,473.2
2022-03-27,22.66,6.68,7.53,136.21,349.99
2022-03-28,22.8,5.54,8.05,136.03,455.7
2022-03-29,22.35,6.68,8.44,136.5,343.96
2022-04-01,22.9,7.07,8.7,137.18,302.1
2022-04-02,22.17,8.86,8.77,134.23,189.86
2022-04-03,22.76,7.65,8.71,133.17,300.49
2022-04-04,22.25,8.38,8.71,133.1,193.51
2022-04-08,21.6,8.92,8.78,130.94,177.3
2022-04-09,22.22,8.65,9.41,130.72,168.89
2022-04-10,22.59,8.61,9.16,130.67,164.56
2022-04-11,21.78,8.46,9.06,130.61,127.72
2022-04-15,23.2,8.41,9.65,130.5,125.4
2022-04-16,22.66,8.27,9.68,131.54,138.14
2022-04-17,22.52,8.0,9.68,136.26,151.23
2022-04-18,22.51,7.75,9.67,132.72,126.87
2022-04-22,22.4,7,9.71,136.7,168.1
2022-04-23,22.83,8.19,9.83,145.1,148.53
2022-04-24,23.77,7.07,9.82,148.56,154.43
2022-04-25,22.61,8.58,9.82,137.26,154.34
2022-04-29,25.4,8.76,9.83,149.03,147.8
2022-04-30,23.58,8.32,10.3,147.75,170.53
2022-05-01,25.2,8.45,10.02,148.33,156.76
2022-05-02,24.82,8.16,10.54,147.5,238.34
2022-05-05,23.5,8.16,10.65,141.8,239.9
2022-05-06,23.75,6.62,10.25,144.94,257.3
2022-05-07,23.7,6.22,10.31,143.65,255.43
2022-05-08,23.62,4.54,10.06,145.28,242.99
2022-05-12,23.8,4.2,9.67,146.06,283.1
2022-05-13,23.74,4.13,9.9,145.81,325.17
2022-05-14,23.76,3.61,9.69,145.6,373.0
2022-05-15,23.59,3.59,9.97,145.7,351.64
